;2.5;2.6;2.8;3.0;3.2;3.5;4.0;4.5;5.0;5.5;6.0;6.5;7.0;7.5;8.0;8.5;9.0;9.5;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;22.0;24.0;25.0;26.0;28.0;30.0;32.0;34.0;35.0;36.0;38.0;40.0;42.0;45.0;48.0;50.0;56.0;60.0;63.0;65.0;70.0;75.0
20;1.08;1.12;1.19;1.26;1.33;1.42;1.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1.2;1.24;1.33;1.41;1.48;1.6;1.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;;;;;;8.5;9.0;10.82;11.96;13.09;14.2;15.31;16.4;17.48;18.54;19.6;20.64;21.67;22.69;24.68;26.63;28.53;30.38;32.18;33.93;35.63;37.29;38.89;40.44;43.4;46.16;;;;;;;;;;;;;;;;;;;;
104;;;;;;;9.86;11.04;12.21;13.36;14.5;15.63;16.74;17.85;18.94;20.02;21.08;22.14;23.18;25.23;27.22;29.17;31.07;32.92;34.72;36.47;38.17;39.83;41.43;44.49;47.35;;;;;;;;;;;;;;;;;;;;
108;;;;;;;10.26;11.49;12.7;13.9;15.09;16.27;17.43;18.59;19.73;20.86;21.97;23.08;24.17;26.31;28.41;30.46;32.45;34.4;36.3;38.15;39.95;41.7;43.4;46.66;49.71;51.17;52.58;55.24;57.7;;;;;;;;;;;;;;;;
114;;;;;;;10.85;12.15;13.44;14.72;15.98;17.23;18.47;19.7;20.91;22.11;23.3;24.48;25.65;27.94;30.18;32.38;34.52;36.62;38.67;40.66;42.61;44.51;46.36;49.91;53.27;54.87;56.42;59.38;62.14;;;;;;;;;;;;;;;;
121;;;;;;;11.54;12.93;14.3;15.0;17.02;18.35;19.68;20.99;22.29;23.58;24.86;26.12;27.37;29.84;32.26;34.62;36.94;39.21;41.63;43.6;45.72;47.79;49.81;53.71;57.41;59.18;60.91;64.21;67.32;;;;;;;;;;;;;;;;
127;;;;;;;12.13;13.59;15.04;16.48;17.9;19.31;20.71;22.1;23.48;24.84;26.19;27.53;28.85;31.47;34.03;36.55;39.01;41.43;43.8;46.11;48.38;50.6;52.77;56.96;60.96;62.88;64.76;68.36;71.76;;;;;;;;;;;;;;;;
133;;;;;;;12.72;14.26;15.78;17.29;18.79;20.28;21.75;23.21;24.66;26.1;27.52;28.93;30.33;33.09;35.81;38.47;41.08;43.65;46.16;48.63;51.05;53.41;55.73;60.22;64.51;66.58;68.6;72.5;76.2;79.7;;;;;;;;;;;;;;;
140;;;;;;;;15.04;16.65;18.24;19.83;21.4;22.96;24.51;26.04;27.56;29.07;30.57;32.06;34.99;37.88;40.71;43.5;46.24;48.93;51.56;54.15;56.59;59.18;64.02;68.66;70.9;73.09;77.33;81.38;85.22;88.87;90.63;92.33;;;;;;;;;;;;
146;;;;;;;;15.7;17.39;19.06;20.71;22.36;23.99;25.62;27.22;28.82;30.41;31.98;33.54;36.62;39.65;42.64;45.57;48.46;51.29;54.08;56.82;59.5;62.14;67.27;72.2;74.6;76.94;81.48;85.82;89.96;93.91;95.8;97.65;;;;;;;;;;;;
152;;;;;;;;16.37;18.13;19.87;21.6;23.32;25.03;26.73;28.41;30.08;31.74;33.38;35.02;38.25;41.43;44.56;47.64;50.68;53.66;56.59;59.48;62.32;65.1;70.53;75.76;78.3;80.79;85.62;90.26;94.69;98.94;100.98;102.98;;;;;;;;;;;;
