alpha;1.0;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2.0;>2
α1;0.048;0.055;0.063;0.069;0.075;0.081;0.086;0.091;0.094;0.098;0.1;0.125
α2;0.048;0.049;0.05;0.05;0.05;0.05;0.049;0.048;0.048;0.047;0.046;0.037
