Section;h, mm;b, mm;t, mm;A, cm2;Ix, cm4;Wx, cm3;rx, cm;Iy, cm4;Wy, cm3;ry, cm;R, mm;m, kg/m
50x25x2;50;25;2;2.74;8.38;3.35;1.75;2.8;2.24;1.01;4;2.15
50x25x2.5;50;25;2.5;3.34;9.88;3.95;1.72;3.27;2.61;0.99;5;2.62
50x25x3;50;25;3;3.91;11.17;4.47;1.69;3.65;2.92;0.97;6;3.07
50x25x3.5;50;25;3.5;4.44;12.24;4.9;1.66;3.96;3.16;0.94;7;3.49
50x25x4;50;25;4;4.95;13.12;5.25;1.63;4.19;3.35;0.92;8;3.88
50x30x2;50;30;2;2.94;9.53;3.81;1.8;4.29;2.86;1.21;4;2.31
50x30x2.5;50;30;2.5;3.59;11.29;4.52;1.77;5.04;3.36;1.19;5;2.82
50x30x3;50;30;3;4.21;12.82;5.13;1.75;5.68;3.79;1.16;6;3.3
50x30x3.5;50;30;3.5;4.79;14.13;5.65;1.72;6.22;4.15;1.14;7;3.76
50x30x4;50;30;4;5.35;15.24;6.09;1.69;6.66;4.44;1.12;8;4.2
50x30x5;50;30;5;6.36;16.85;6.74;1.63;7.26;4.84;1.07;10;4.99
50x40x2;50;40;2;3.34;11.84;4.73;1.88;8.38;4.19;1.58;4;2.62
50x40x2.5;50;40;2.5;4.09;14.11;5.65;1.86;9.97;4.98;1.56;5;3.21
50x40x3;50;40;3;4.81;16.14;6.45;1.83;11.36;5.68;1.54;6;3.77
50x40x3.5;50;40;3.5;5.49;17.92;7.17;1.81;12.59;6.29;1.51;7;4.31
50x40x4;50;40;4;6.15;19.47;7.79;1.78;13.64;6.82;1.49;8;4.83
50x40x4.5;50;40;4.5;6.77;20.8;8.32;1.75;14.54;7.27;1.47;9;5.31
50x40x5;50;40;5;7.36;21.91;8.77;1.73;15.28;7.64;1.44;10;5.77
60x30x2;60;30;2;3.74;18.41;6.14;2.22;9.82;4.91;1.62;4;2.93
60x30x2.5;60;30;2.5;4.09;17.93;5.98;2.09;5.99;3.99;1.21;5;3.21
60x30x3;60;30;3;4.81;20.49;6.83;2.06;6.78;4.52;1.19;6;3.77
60x30x3.5;60;30;3.5;5.49;22.74;7.58;2.03;7.45;4.97;1.16;7;4.31
60x30x4;60;30;4;6.15;24.69;8.23;2;8.01;5.34;1.14;8;4.83
60x30x4.5;60;30;4.5;6.77;26.34;8.78;1.97;8.47;5.64;1.12;9;5.31
60x30x5;60;30;5;7.36;27.72;9.24;1.94;8.83;5.88;1.1;10;5.77
60x30x5.5;60;30;5.5;7.91;28.84;9.61;1.91;9.1;6.06;1.07;11;6.21
60x30x6;60;30;6;8.43;29.69;9.9;1.88;9.28;6.19;1.05;12;6.62
60x40x2;60;40;2;3.74;13.41;6.14;2.22;9.82;4.91;1.62;4;2.93
60x40x2.5;60;40;2.5;4.59;22.06;7.35;2.19;11.72;5.86;1.6;5;3.6
60x40x3;60;40;3;5.41;25.37;8.46;2.17;13.42;6.71;1.58;6;4.25
60x40x3.5;60;40;3.5;6.19;28.33;9.44;2.14;14.92;7.46;1.55;7;4.86
60x40x4;60;40;4;6.95;30.96;10.32;2.11;16.23;8.12;1.53;8;5.45
60x40x4.5;60;40;4.5;7.67;33.28;11.09;2.08;17.37;8.69;1.51;9;6.02
60x40x5;60;40;5;8.36;35.29;11.76;2.05;18.34;9.17;1.48;10;6.56
60x40x5.5;60;40;5.5;9.01;37;12.33;2.03;19.16;9.58;1.46;11;7.07
60x40x6;60;40;6;9.63;38.44;12.81;2;19.82;9.91;1.43;12;7.56
70x50x2;70;50;2;4.54;31.47;8.99;2.63;18.75;7.5;2.03;4;3.56
70x50x2.5;70;50;2.5;5.59;38;10.86;2.61;22.57;9.03;2.01;5;4.39
70x50x3;70;50;3;6.61;44.03;12.58;2.58;26.08;10.43;1.99;6;5.19
70x50x3.5;70;50;3.5;7.59;49.57;14.16;2.55;29.27;11.71;1.96;7;5.96
70x50x4;70;50;4;8.55;54.64;15.61;2.53;32.16;12.87;1.94;8;6.71
70x50x4.5;70;50;4.5;9.47;59.24;16.93;2.5;34.77;13.91;1.92;9;7.43
70x50x5;70;50;5;10.36;63.4;18.11;2.47;37.1;14.84;1.89;10;8.13
70x50x5.5;70;50;5.5;11.21;67.12;19.18;2.45;39.17;15.67;1.87;11;8.8
70x50x6;70;50;6;12.03;70.43;20.12;2.42;40.98;16.39;1.85;12;9.45
80x40x2;80;40;2;4.54;37.35;9.34;2.87;12.71;6.36;1.67;4;3.56
80x40x2.5;80;40;2.5;5.59;45.1;11.27;2.84;15.24;7.62;1.65;5;4.39
80x40x3;80;40;3;6.61;52.24;13.06;2.81;17.52;8.76;1.63;6;5.19
80x40x3.5;80;40;3.5;7.59;58.79;14.7;2.78;19.58;9.79;1.61;7;5.96
80x40x4;80;40;4;8.55;64.77;16.19;2.75;21.42;10.71;1.58;8;6.71
80x40x4.5;80;40;4.5;9.47;70.19;17.55;2.72;23.04;11.52;1.56;9;7.43
80x40x5;80;40;5;10.36;75.07;18.77;2.69;24.47;12.23;1.54;10;8.13
80x40x5.5;80;40;5.5;11.21;79.42;19.86;2.66;25.7;12.85;1.51;11;8.8
80x40x6;80;40;6;12.03;83.26;20.82;2.63;26.75;13.38;1.49;12;9.45
80x60x2;80;60;2;5.34;49.52;12.38;3.05;34.35;11.45;2.54;4;4.19
