Section;h, mm;b, mm;t, mm;A, cm2;Ix, cm4;Wx, cm3;rx, cm;Iy, cm4;Wy, cm3;ry, cm;R, mm;m, kg/m
80x60x2.5;80;60;2.5;6.59;60.11;15.03;3.02;42.42;14.14;2.54;5;5.17
80x60x3;80;60;3;7.81;76.62;17.51;2.99;44.86;14.95;2.4;6;6.13
80x60x3.5;80;60;3.5;8.99;78.27;19.82;2.97;50.67;16.89;2.37;7;7.06
80x60x4;80;60;4;10.15;87.87;21.97;2.94;56.05;18.68;2.35;8;7.97
80x60x4.5;80;60;4.5;11.27;95.84;23.96;2.92;61;20.33;2.33;9;8.85
80x60x5;80;60;5;12.36;103.2;25.8;2.89;65.54;21.85;2.3;10;9.7
80x60x5.5;80;60;5.5;13.41;109.9;27.49;2.86;69.68;23.23;2.28;11;10.53
80x60x6;80;60;6;14.43;116.1;29.03;2.84;73.43;24.48;2.26;12;11.33
80x60x6.5;80;60;6.5;15.06;115.9;28.98;2.77;73.58;24.53;2.21;16.25;11.82
80x60x7;80;60;7;15.96;120.1;30.01;2.74;76.1;25.37;2.18;17.5;12.53
80x70x3;80;70;3;8.41;78.92;19.73;3.06;64.23;18.35;2.76;6;6.6
80x70x3.5;80;70;3.5;9.69;89.51;22.38;3.04;72.79;20.8;2.74;7;7.61
80x70x4;80;70;4;10.95;99.42;24.86;3.01;80.77;23.08;2.72;8;8.59
80x70x4.5;80;70;4.5;12.17;108.7;27.17;2.99;88.2;25.2;2.69;9;9.55
80x70x5;80;70;5;13.36;117.3;29.31;2.96;95.09;27.17;2.67;10;10.48
80x70x5.5;80;70;5.5;14.51;125.2;31.3;2.94;101.5;28.98;2.64;11;11.39
80x70x6;80;70;6;15.63;132.5;33.14;2.91;107.3;30.66;2.62;12;12.27
80x70x6.5;80;70;6.5;16.36;133.5;33.37;2.86;108.2;30.92;2.57;16.25;12.84
80x70x7;80;70;7;17.36;138.7;34.68;2.83;112.4;32.11;2.54;17.5;13.63
90x50x3;90;50;3;7.81;81.83;18.19;3.24;32.7;13.08;2.05;6;6.13
90x50x3.5;90;50;3.5;8.99;92.63;20.59;3.21;36.84;14.74;2.02;7;7.06
90x50x4;90;50;4;10.15;102.7;22.82;3.18;40.63;16.25;2;8;7.97
90x50x4.5;90;50;4.5;11.27;112;24.88;3.15;44.09;17.63;1.98;9;8.85
90x50x5;90;50;5;12.36;120.5;26.79;3.12;47.23;18.89;1.95;10;9.7
90x50x5.5;90;50;5.5;13.41;128.4;28.53;3.09;50.06;20.02;1.93;11;10.53
90x50x6;90;50;6;14.43;135.6;30.13;3.06;52.59;21.04;1.91;12;11.33
90x50x6.5;90;50;6.5;15.06;134.7;29.93;2.99;52.62;21.05;1.87;16.25;11.82
90x50x7;90;50;7;15.96;139.4;30.97;2.96;54.27;21.71;1.84;17.5;12.53
90x60x3;90;60;3;8.41;78.92;19.73;3.06;64.23;18.35;2.76;6;6.6
90x60x3.5;90;60;3.5;9.69;89.51;22.38;3.04;72.79;20.8;2.74;7;7.61
90x60x4;90;60;4;10.95;117.5;26.1;3.28;62.32;20.77;2.39;8;8.59
90x60x4.5;90;60;4.5;12.17;128.4;28.54;3.25;67.93;22.64;2.36;9;9.55
90x60x5;90;60;5;13.36;138.6;30.8;3.22;73.1;24.37;2.34;10;10.48
90x60x5.5;90;60;5.5;14.51;148;32.9;3.19;77.84;25.95;2.32;11;11.39
90x60x6;90;60;6;15.63;156.7;34.83;3.17;82.18;27.39;2.29;12;12.27
90x60x7;90;60;7;17.36;163.5;36.33;3.07;85.93;28.64;2.23;17.5;13.63
100x40x3;100;40;3;7.81;92.33;18.47;3.44;21.63;10.82;1.66;6;6.13
100x40x3.5;100;40;3.5;8.99;104.4;20.89;3.41;24.24;12.12;1.64;7;7.06
100x40x4;100;40;4;10.15;115.7;23.13;3.38;26.6;13.3;1.62;8;7.97
100x40x4.5;100;40;4.5;11.27;126;25.21;3.34;28.71;14.36;1.6;9;8.85
100x40x5;100;40;5;12.36;135.6;27.11;3.31;30.59;15.3;1.57;10;9.7
100x40x5.5;100;40;5.5;13.41;144.3;28.85;3.28;32.25;16.12;1.55;11;10.53
100x40x6;100;40;6;14.43;152.2;30.43;3.25;33.69;16.85;1.53;12;11.33
100x40x6.5;100;40;6.5;15.06;150.1;30.03;3.16;33.54;16.77;1.49;16.25;11.82
100x40x7;100;40;7;15.96;155;31.01;3.12;34.39;17.19;1.47;17.5;12.53
100x50x3;100;50;3;8.41;106.4;21.29;3.56;36.02;14.41;2.07;6;6.6
100x50x3.5;100;50;3.5;9.69;120.7;24.15;3.53;40.62;16.25;2.05;7;7.61
100x50x4;100;50;4;10.95;134.1;26.82;3.5;44.86;17.94;2.02;8;8.59
100x50x4.5;100;50;4.5;12.17;146.6;29.31;3.47;48.74;19.5;2;9;9.55
100x50x5;100;50;5;13.36;158.1;31.62;3.44;52.29;20.92;1.98;10;10.48
100x50x5.5;100;50;5.5;14.51;168.8;33.76;3.41;55.5;22.2;1.96;11;11.39
100x50x6;100;50;6;15.63;178.7;35.73;3.38;58.4;23.36;1.93;12;12.27
100x50x6.5;100;50;6.5;16.36;178.6;35.71;3.3;58.77;23.51;1.9;16.25;12.84
100x50x7;100;50;7;17.36;185.3;37.06;3.27;60.74;24.29;1.87;17.5;13.63
100x60x3;100;60;3;9.01;120.6;24.11;3.66;54.61;18.2;2.46;6;7.07
100x60x3.5;100;60;3.5;10.39;137;27.41;3.63;61.85;20.62;2.44;7;8.16
100x60x4;100;60;4;11.75;152.5;30.51;3.6;68.59;22.86;2.42;8;9.22
100x60x4.5;100;60;4.5;13.07;167.1;33.42;3.58;74.86;24.95;2.39;9;10.26
100x60x5;100;60;5;14.36;180.7;36.14;3.55;80.66;26.89;2.37;10;11.27
100x60x5.5;100;60;5.5;15.61;193.4;38.68;3.52;86.01;28.67;2.35;11;12.25
100x60x6;100;60;6;16.83;205.2;41.03;3.49;90.93;30.31;2.32;12;13.21
100x60x6.5;100;60;6.5;17.66;207;41.39;3.42;92.18;30.73;2.28;16.25;13.86
100x60x7;100;60;7;18.76;215.6;43.12;3.39;95.77;31.92;2.26;17.5;14.72
120x40x3;120;40;3;9.01;148;24.67;4.05;25.74;12.87;1.69;6;7.07
120x40x3.5;120;40;3.5;10.39;168.1;28.01;4.02;28.91;14.45;1.67;7;8.16
120x40x4;120;40;4;11.75;186.9;31.14;3.99;31.79;15.89;1.64;8;9.22
120x40x4.5;120;40;4.5;13.07;204.4;34.07;3.96;34.38;17.19;1.62;9;10.26
120x40x5;120;40;5;14.36;220.8;36.79;3.92;36.72;18.36;1.6;10;11.27
120x40x5.5;120;40;5.5;15.61;235.9;39.32;3.89;38.79;19.4;1.58;11;12.25
120x40x6;120;40;6;16.83;249.9;41.65;3.85;40.63;20.31;1.55;12;13.21
120x40x6.5;120;40;6.5;17.66;249.6;41.6;3.76;40.84;20.42;1.52;16.25;13.86
120x40x7;120;40;7;18.76;259.2;43.21;3.72;42.01;21;1.5;17.5;14.72
120x60x3;120;60;3;10.21;189.1;31.52;4.3;64.35;21.45;2.51;6;8.01
120x60x3.5;120;60;3.5;11.79;215.6;35.93;4.28;73.02;24.34;2.49;7;9.26
120x60x4;120;60;4;13.35;240.7;40.12;4.25;81.14;27.05;2.47;8;10.48
120x60x4.5;120;60;4.5;14.87;264.5;44.08;4.22;88.72;29.57;2.44;9;11.67
120x60x5;120;60;5;16.36;286.9;47.82;4.19;95.79;31.93;2.42;10;12.84
120x60x5.5;120;60;5.5;17.81;308;51.34;4.16;102.3;34.12;2.4;11;13.98
120x60x6;120;60;6;19.23;327.9;54.65;4.13;108.4;36.14;2.37;12;15.1
120x60x6.5;120;60;6.5;20.26;333.3;55.56;4.06;110.8;36.93;2.34;16.25;15.9
120x60x7;120;60;7;21.56;348.6;58.1;4.02;115.4;38.48;2.31;17.5;16.92
120x80x3;120;80;3;11.41;230.2;38.36;4.49;123.4;30.85;3.29;6;8.96
120x80x3.5;120;80;3.5;13.19;263.1;43.85;4.47;140.7;35.18;3.27;7;10.36
120x80x4;120;80;4;14.95;294.5;49.09;4.44;157.2;39.3;3.24;8;11.73
120x80x4.5;120;80;4.5;16.67;324.5;54.08;4.41;172.8;43.2;3.22;9;13.08
120x80x5;120;80;5;18.36;353;58.84;4.39;187.6;46.89;3.2;10;14.41
120x80x5.5;120;80;5.5;20.01;380.1;63.36;4.36;201.5;50.38;3.17;11;15.71
120x80x6;120;80;6;21.63;405.9;67.64;4.33;214.7;53.67;3.15;12;16.98
120x80x6.5;120;80;6.5;22.86;417.1;69.51;4.27;221.3;55.31;3.11;16.25;17.94
120x80x7;120;80;7;24.36;438;73;4.24;232;57.99;3.09;17.5;19.12
140x60x3;140;60;3;11.41;278.1;39.72;4.94;74.1;24.7;2.55;6;8.96
140x60x3.5;140;60;3.5;13.19;317.7;45.39;4.91;84.19;28.06;2.53;7;10.36
140x60x4;140;60;4;14.95;355.5;50.79;4.88;93.68;31.23;2.5;8;11.73
140x60x4.5;140;60;4.5;16.67;391.6;55.94;4.85;102.6;34.19;2.48;9;13.08
140x60x5;140;60;5;18.36;425.8;60.83;4.82;110.9;36.97;2.46;10;14.41
140x60x5.5;140;60;5.5;20.01;458.3;65.47;4.79;118.7;39.56;2.44;11;15.71
140x60x6;140;60;6;21.63;489.1;69.87;4.75;125.9;41.97;2.41;12;16.98
140x60x6.5;140;60;6.5;22.86;500.2;71.46;4.68;129.4;43.13;2.38;16.25;17.94
140x60x7;140;60;7;24.36;524.8;74.97;4.64;135.1;45.03;2.36;17.5;19.12
140x100x4;140;100;4;18.15;503.5;71.93;5.27;300;60;4.07;8;14.25
140x100x4.5;140;100;4.5;20.27;556.8;79.54;5.24;331.2;66.25;4.04;9;15.91
140x100x5;140;100;5;22.36;608.1;86.87;5.22;361.2;72.24;4.02;10;17.55
140x100x5.5;140;100;5.5;24.41;657.3;93.9;5.19;389.8;77.97;4;11;19.16
140x100x6;140;100;6;26.43;704.5;100.6;5.16;417.2;83.45;3.97;12;20.75
140x100x6.5;140;100;6.5;28.06;731.9;104.6;5.11;434.3;86.85;3.93;16.25;22.03
140x100x7;140;100;7;29.96;772.4;110.3;5.08;457.8;91.55;3.91;17.5;23.52
140x110x4;140;110;4;18.95;540.6;77.23;5.34;373.4;67.89;4.44;8;14.87
140x110x4.5;140;110;4.5;21.17;598.2;85.46;5.32;412.8;75.05;4.42;9;16.62
140x110x5;140;110;5;23.36;653.8;93.4;5.29;450.7;81.94;4.39;10;18.33
140x110x5.5;140;110;5.5;25.51;707.2;101;5.27;487.1;88.56;4.37;11;20.02
140x110x6;140;110;6;27.63;758.7;108.4;5.24;522;94.91;4.35;12;21.69
140x110x6.5;140;110;6.5;29.36;790.1;112.9;5.19;544.4;99.98;4.31;16.25;23.04
140x110x7;140;110;7;31.35;834.7;119.2;5.16;574.7;104.5;4.28;17.5;24.61
140x120x4;140;120;4;19.75;577.5;82.5;5.41;456;76;4.81;8;15.5
140x120x4.5;140;120;4.5;22.07;639.4;91.35;5.38;504.6;84.1;4.78;9;17.32
140x120x5;140;120;5;24.36;699.2;99.88;5.36;551.4;91.9;4.76;10;19.12
140x120x5.5;140;120;5.5;26.61;756.8;108.1;5.33;596.5;99.41;4.73;11;20.89
140x120x6;140;120;6;28.83;812.3;116;5.31;639.8;106.6;4.71;12;22.63
140x120x6.5;140;120;6.5;30.66;847.8;121.11;5.26;668.3;111.4;4.67;16.25;24.07
140x120x7;140;120;7;32.76;896.3;128;5.23;706.2;117.7;4.64;17.5;25.71
140x120x7.5;140;120;7.5;34.82;942.5;134.6;5.2;742.2;123.7;4.62;18.75;27.33
140x120x8;140;120;8;36.84;986.5;140.9;5.17;776.5;129.4;4.59;20;28.92
150x50x3;150;50;3;11.41;298.5;39.8;5.12;52.65;21.06;2.15;6;8.96
150x50x3.5;150;50;3.5;13.19;341;45.46;5.08;59.64;23.85;2.13;7;10.36
150x50x4;150;50;4;14.95;381.4;50.85;5.05;66.16;26.46;2.1;8;11.73
150x50x4.5;150;50;4.5;16.67;419.8;55.97;5.02;72.23;28.89;2.08;9;13.08
150x50x5;150;50;5;18.36;456.2;60.83;4.99;77.87;31.15;2.06;10;14.41
150x50x5.5;150;50;5.5;20.01;490.8;65.44;4.95;83.08;33.23;2.04;11;15.71
150x50x6;150;50;6;21.63;523.4;69.79;4.92;87.89;35.16;2.02;12;16.98
150x50x6.5;150;50;6.5;22.86;533.6;71.14;4.83;90.06;36.02;1.98;16.25;17.94
150x50x7;150;50;7;24.35;559.2;74.56;4.79;93.75;37.5;1.96;17.5;19.12
150x100x4;150;100;4;18.95;594.5;79.27;5.6;318.4;63.68;4.1;8;14.87
150x100x4.5;150;100;4.5;21.17;657.9;87.72;5.58;351.8;70.35;4.08;9;16.62
150x100x5;150;100;5;23.36;719;95.87;5.55;383.7;76.75;4.05;10;18.33
150x100x5.5;150;100;5.5;25.51;777.9;103.7;5.52;414.4;82.88;4.03;11;20.03
150x100x6;150;100;6;27.63;834.4;111.3;5.5;443.7;88.75;4.01;12;21.69
150x100x6.5;150;100;6.5;29.36;868.2;115.8;5.44;462.7;92.54;3.97;16.25;23.05
150x100x7;150;100;7;31.36;917.1;122.3;5.41;488;97.61;3.95;17.5;24.62
150x130x4;150;130;4;21.35;722.5;96.33;5.82;580.47;89.3;5.21;8;6.76
150x130x4.5;150;130;4.5;23.87;801;106.8;5.79;643.18;98.95;5.19;9;18.74
150x130x5;150;130;5;26.36;876.9;116.9;5.77;703.81;108.3;5.17;10;20.69
150x130x5.5;150;130;5.5;28.81;950.4;126.7;5.74;762.38;117.3;5.14;11;22.62
150x130x6;150;130;6;31.23;1021;136.2;5.72;818.92;126;5.12;12;24.52
150x130x6.5;150;130;6.5;33.26;1069;142.6;5.67;858.01;132;5.08;16.25;26.11
150x130x7;150;130;7;35.55;1132;151;5.64;908.12;139.7;5.05;17.5;27.91
150x130x7.5;150;130;7.5;37.82;1193;159;5.62;956.11;147.1;5.03;18.75;29.68
150x130x8;150;130;8;40.04;1250;166.7;5.59;1002;154.2;5;20;31.43
160x40x3;160;40;3;11.41;315.9;39.49;5.26;33.95;16.98;1.73;6;8.96
160x40x3.5;160;40;3.5;13.19;360.5;45.07;5.23;38.23;19.12;1.7;7;10.36
160x40x4;160;40;4;14.95;403;50.37;5.19;42.15;21.08;1.68;8;11.73
160x40x4.5;160;40;4.5;16.67;443.2;55.4;5.16;45.73;22.86;1.66;9;13.08
160x40x5;160;40;5;18.36;481.3;60.16;5.12;48.97;24.48;1.63;10;14.41
160x40x5.5;160;40;5.5;20.01;517.3;64.66;5.08;51.89;25.94;1.61;11;15.71
160x40x6;160;40;6;21.63;551.2;68.9;5.05;54.5;27.25;1.59;12;16.98
160x40x6.5;160;40;6.5;22.86;559.7;69.96;4.95;55.43;27.71;1.56;16.25;17.94
160x40x7;160;40;7;24.36;585.8;73.22;4.9;57.26;28.63;1.53;17.5;19.12
160x80x4;160;80;4;18.15;597.6;74.71;5.74;203.4;50.85;3.35;8;14.25
160x80x4.5;160;80;4.5;20.27;660.8;82.6;5.71;224.1;56.02;3.33;9;15.91
160x80x5;160;80;5;22.36;721.6;90.2;5.68;243.8;60.95;3.3;10;17.55
160x80x5.5;160;80;5.5;24.41;779.9;97.48;5.65;262.6;65.64;3.28;11;19.16
160x80x6;160;80;6;26.43;835.8;104.5;5.62;280.4;70.1;3.26;12;20.75
160x80x6.5;160;80;6.5;28.06;866;108.3;5.56;291.5;72.87;3.22;16.25;22.03
160x80x7;160;80;7;29.96;913.5;114.2;5.52;306.6;76.64;3.2;17.5;23.52
160x100x4;160;100;4;19.75;695;86.87;5.93;336.9;67.37;4.13;8;15.5
160x100x4.5;160;100;4.5;22.07;769.6;96.21;5.91;372.3;74.46;4.11;9;17.32
160x100x5;160;100;5;24.36;841.7;105.2;5.88;406.3;81.26;4.08;10;19.12
160x100x5.5;160;100;5.5;26.61;911.2;113.9;5.85;439;87.79;4.06;11;20.89
160x100x6;160;100;6;28.83;978.1;122.3;5.82;470.2;94.05;4.04;12;22.63
160x100x6.5;160;100;6.5;30.66;1019;127.4;5.77;491.1;98.22;4;16.25;24.07
160x100x7;160;100;7;32.76;1077;134.7;5.73;518.3;103.7;3.98;17.5;25.71
160x100x7.5;160;100;7.5;34.82;1133;141.6;5.7;544.1;108.8;3.95;18.75;27.33
160x100x8;160;100;8;36.84;1186;148.2;5.67;568.6;113.7;3.93;20;28.92
160x120x4;160;120;4;21.35;792.3;99.04;6.09;509.8;84.97;4.89;8;16.76
160x120x4.5;160;120;4.5;23.87;878.5;109.8;6.07;564.6;94.1;4.86;9;18.74
160x120x5;160;120;5;26.36;961.8;120.2;6.04;617.5;102.9;4.84;10;20.69
160x120x5.5;160;120;5.5;28.81;1042;130.3;6.02;668.6;111.4;4.82;11;22.62
160x120x6;160;120;6;31.23;1120;140;5.99;717.8;119.6;4.79;12;24.52
160x120x6.5;160;120;6.5;33.26;1172;146.5;5.94;752;125.3;4.76;16.25;26.11
160x120x7;160;120;7;35.56;1241;155.2;5.91;795.5;132.6;4.73;17.5;27.91
160x120x7.5;160;120;7.5;37.82;1307;163.4;5.88;837.2;139.5;4.7;18.75;29.69
160x120x8;160;120;8;40.04;1371;171.3;5.85;876.9;146.1;4.68;20;31.43
160x140x4;160;140;4;22.95;889.8;111.2;6.23;725.59;103.7;5.62;8;18.01
160x140x4.5;160;140;4.5;25.67;987.4;123.4;6.2;804.85;115;5.6;9;20.15
160x140x5;160;140;5;28.36;1082;135.2;6.18;881.4;125.9;5.58;10;22.26
160x140x5.5;160;140;5.5;31.01;1174;146.7;6.15;955.8;136.5;5.55;11;24.34
160x140x6;160;140;6;33.63;1263;157.8;6.13;1028;146.8;5.53;12;26.4
160x140x6.5;160;140;6.5;35.86;1325;165.7;6.08;1079;154.2;5.49;16.25;28.15
160x140x7;160;140;7;38.36;1405;175.6;6.05;1144;163.4;5.46;17.5;30.11
160x140x7.5;160;140;7.5;40.82;1482;185.2;6.02;1206;172.3;5.44;18.75;32.04
160x140x8;160;140;8;43.24;1555;194.4;6;1265;180.8;5.41;20;33.95
180x60x4;180;60;4;18.15;678.1;75.3;6.11;118.8;39.6;2.56;8;14.25
180x60x4.5;180;60;4.5;20.27;749.4;83.3;6.08;130.3;43.4;2.54;9;15.91
180x60x5;180;60;5;22.36;817.8;90.9;6.05;141.2;47.1;2.51;10;17.55
180x60x5.5;180;60;5.5;24.41;883.3;98.1;6.02;151.4;50.5;2.49;11;19.16
180x60x6;180;60;6;26.43;946;105.1;5.98;160.9;53.6;2.47;12;20.75
180x60x6.5;180;60;6.5;28.06;976.4;108.5;5.9;166.6;55.5;2.44;16.25;22.03
180x60x7;180;60;7;29.96;1029;114.3;5.86;174.4;58.1;2.41;17.5;23.52
180x60x7.5;180;60;7.5;31.82;1078;119.8;5.82;181.6;60.5;2.39;18.75;24.98
180x60x8;180;60;8;33.64;1125;125;5.78;188.2;62.7;2.37;20;26.41
180x80x4;180;80;4;19.75;802;89.12;6.37;226.5;56.62;3.39;8;15.5
180x80x4.5;180;80;4.5;22.07;888;98.67;6.34;249.7;62.44;3.36;9;17.32
180x80x5;180;80;5;24.36;970.9;107.9;6.31;271.9;67.99;3.34;10;19.12
180x80x5.5;180;80;5.5;26.61;1051;116.8;6.28;293.1;73.28;3.32;11;20.89
180x80x6;180;80;6;28.83;1128;125.3;6.25;313.3;78.31;3.3;12;22.63
180x80x6.5;180;80;6.5;30.66;1172;130.2;6.18;326.6;81.65;3.26;16.25;24.07
180x80x7;180;80;7;32.76;1238;137.6;6.15;343.9;85.97;3.24;17.5;25.71
180x80x7.5;180;80;7.5;34.82;1301;144.6;6.11;360.1;90.03;3.22;18.75;27.33
180x80x8;180;80;8;36.84;1361;151.3;6.08;375.4;93.85;3.19;20;28.92
180x100x4;180;100;4;21.35;926;102.9;6.59;373.7;74.74;4.18;8;16.76
180x100x4.5;180;100;4.5;23.87;1027;114.1;6.56;413.3;82.67;4.16;9;18.74
180x100x5;180;100;5;25.36;1124;124.9;6.53;451.4;90.29;4.14;10;20.69
180x100x5.5;180;100;5.5;28.81;1218;135.4;6.5;488.1;97.61;4.12;11;22.62
180x100x6;180;100;6;31.23;1309;145.5;6.47;523.3;104.7;4.09;12;24.52
180x100x6.5;180;100;6.5;33.26;1368;152;6.41;547.9;109.6;4.06;16.25;26.11
180x100x7;180;100;7;35.56;1448;160.9;6.38;578.8;115.8;4.03;17.5;27.91
180x100x7.5;180;100;7.5;37.82;1525;169.4;6.35;608.3;121.7;4.01;18.75;29.69
180x100x8;180;100;8;40.04;1598;177.6;6.32;636.3;127.3;3.99;20;31.43
180x120x4;180;120;4;22.95;1050;116.7;6.76;563.79;93.97;4.96;8;18.01
180x120x4.5;180;120;4.5;25.67;1165;129.5;6.74;624.86;104.1;4.93;9;20.15
180x120x5;180;120;5;28.36;1277;141.9;6.71;683.94;114;4.91;10;22.26
180x120x5.5;180;120;5.5;31.01;1386;154;6.69;741.07;123.5;4.89;11;24.34
180x120x6;180;120;6;33.63;1491;165.7;6.66;796.26;132.7;4.87;12;26.4
180x120x6.5;180;120;6.5;35.86;1564;173.7;6.6;836.38;139.4;4.83;16.25;28.15
180x120x7;180;120;7;38.35;1658;184.2;6.57;885.7;147.6;4.81;17.5;30.11
180x120x7.5;180;120;7.5;40.82;1748;194.2;6.54;933.02;155.5;4.78;18.75;32.04
180x120x8;180;120;8;43.24;1835;203.9;6.51;978.38;163.1;4.76;20;33.94
180x140x4;180;140;4;24.55;1174;130.42;6.91;799.5;114.2;5.71;8;19.27
180x140x4.5;180;140;4.5;27.47;1304;144.87;6.89;887.3;126.8;5.68;9;21.56
180x140x5;180;140;5;30.36;1430;158.92;6.86;972.6;138.9;5.66;10;23.83
180x140x5.5;180;140;5.5;33.21;1553;172.58;6.84;1055;150.7;5.64;11;26.07
180x140x6;180;140;6;36.03;1673;185.85;6.81;1135;162.2;5.61;12;28.29
180x140x6.5;180;140;6.5;38.46;1759;195.45;6.76;1195;170.8;5.57;16.25;30.19
180x140x7;180;140;7;41.16;1867;207.43;6.73;1268;181.1;5.55;17.5;32.31
180x140x7.5;180;140;7.5;43.82;1971;218.99;6.71;1338;191.1;5.52;18.75;34.4
180x140x8;180;140;8;46.44;2071;230.15;6.68;1405;200.8;5.5;20;36.46
