№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Jx0;ix0;Jy0;Wy0;iy0;Jxy;x0;y0
50_50_8;0.05;0.05;0.008;5.82;0.000741;0.0055;0.0018;1.651E-07;0.00000476;0.0149;1.651E-07;0.00000476;0.0149;2.603E-07;0.0187;6.98E-08;0.00000322;0.0097;9.52E-08;0.0153;0.0153
56_56_4;0.056;0.056;0.004;3.44;0.000438;0.006;0.002;0.000000131;0.00000321;0.0173;0.000000131;0.00000321;0.0173;0.000000208;0.0218;5.41E-08;0.00000252;0.0111;7.69E-08;0.0152;0.0152
56_56_5;0.056;0.056;0.005;4.25;0.000541;0.006;0.002;1.597E-07;0.00000396;0.0172;1.597E-07;0.00000396;0.0172;0.000000254;0.0216;6.59E-08;0.00000297;0.011;9.41E-08;0.0157;0.0157
60_60_4;0.06;0.06;0.004;3.71;0.000472;0.007;0.0023;1.621E-07;0.0000037;0.0185;1.621E-07;0.0000037;0.0185;2.569E-07;0.0233;6.72E-08;0.00000293;0.0119;9.48E-08;0.0162;0.0162
60_60_5;0.06;0.06;0.005;4.58;0.000583;0.007;0.0023;1.979E-07;0.00000456;0.0184;1.979E-07;0.00000456;0.0184;0.000000314;0.0232;8.18E-08;0.00000349;0.0118;1.161E-07;0.0166;0.0166
60_60_6;0.06;0.06;0.006;5.43;0.000692;0.007;0.0023;2.321E-07;0.0000054;0.0183;2.321E-07;0.0000054;0.0183;3.681E-07;0.0231;0.000000096;0.00000399;0.0118;0.000000136;0.017;0.017
60_60_8;0.06;0.06;0.008;7.1;0.000904;0.007;0.0023;2.955E-07;0.000007;0.0181;2.955E-07;0.000007;0.0181;4.677E-07;0.0227;1.234E-07;0.0000049;0.0117;1.722E-07;0.0178;0.0178
60_60_10;0.06;0.06;0.01;8.7;0.001108;0.007;0.0023;3.532E-07;0.00000852;0.0179;3.532E-07;0.00000852;0.0179;5.564E-07;0.0224;0.00000015;0.0000057;0.0116;2.032E-07;0.0185;0.0185
63_63_4;0.063;0.063;0.004;3.9;0.000496;0.007;0.0023;0.000000189;0.00000409;0.0195;0.000000189;0.00000409;0.0195;0.000000299;0.0245;7.81E-08;0.00000326;0.0125;0.00000011;0.0169;0.0169
63_63_5;0.063;0.063;0.005;4.81;0.000613;0.007;0.0023;0.000000231;0.00000505;0.0194;0.000000231;0.00000505;0.0194;0.000000366;0.0244;9.52E-08;0.00000387;0.0125;0.000000137;0.0174;0.0174
63_63_6;0.063;0.063;0.006;5.72;0.000728;0.007;0.0023;0.000000271;0.00000598;0.0193;0.000000271;0.00000598;0.0193;0.000000429;0.0243;0.000000112;0.00000444;0.0124;0.000000159;0.0178;0.0178
70_70_4.5;0.07;0.07;0.0045;4.87;0.00062;0.008;0.0027;0.00000029;0.00000567;0.0216;0.00000029;0.00000567;0.0216;0.00000046;0.0272;1.204E-07;0.0000045;0.0139;0.00000017;0.0188;0.0188
70_70_5;0.07;0.07;0.005;5.38;0.000686;0.008;0.0027;0.000000319;0.00000627;0.0216;0.000000319;0.00000627;0.0216;0.000000507;0.0272;1.322E-07;0.0000049;0.0139;0.000000187;0.019;0.019
70_70_6;0.07;0.07;0.006;6.39;0.000815;0.008;0.0027;0.000000376;0.00000743;0.0215;0.000000376;0.00000743;0.0215;0.000000596;0.0271;1.552E-07;0.0000057;0.0138;0.000000221;0.0194;0.0194
70_70_7;0.07;0.07;0.007;7.39;0.000941;0.008;0.0027;0.00000043;0.00000857;0.0214;0.00000043;0.00000857;0.0214;0.000000682;0.0269;1.777E-07;0.0000063;0.0137;0.000000252;0.0199;0.0199
70_70_8;0.07;0.07;0.008;8.37;0.001066;0.008;0.0027;0.000000482;0.00000968;0.0212;0.000000482;0.00000968;0.0212;0.000000764;0.0268;1.997E-07;0.00000699;0.0137;0.000000282;0.0202;0.0202
70_70_10;0.07;0.07;0.01;10.29;0.001311;0.008;0.0027;0.000000579;0.00001182;0.021;0.000000579;0.00001182;0.021;9.152E-07;0.0264;2.427E-07;0.00000817;0.0136;0.000000336;0.021;0.021
75_75_5;0.075;0.075;0.005;5.8;0.000739;0.009;0.003;0.000000395;0.00000721;0.0231;0.000000395;0.00000721;0.0231;0.000000626;0.0291;1.641E-07;0.00000574;0.0149;0.000000231;0.0202;0.0202
75_75_6;0.075;0.075;0.006;6.89;0.000878;0.009;0.003;0.000000466;0.00000857;0.023;0.000000466;0.00000857;0.023;0.000000739;0.029;1.928E-07;0.00000662;0.0148;0.000000273;0.0206;0.0206
