№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Ju;Wu;iu;x0;y0;Jxy;tga
100_65_8;0.1;0.065;0.008;9.99;0.001272;0.01;0.0033;1.2831E-06;0.00001911;0.0318;4.296E-07;0.0000087;0.0184;2.524E-07;0.00000726;0.0141;0.0156;0.032880503;4.264E-07;0.414
100_65_10;0.1;0.065;0.01;12.3;0.001566;0.01;0.0033;1.5552E-06;0.00002345;0.0315;5.168E-07;0.00001064;0.0182;0.000000306;0.00000883;0.014;0.0164;0.033684547;5.118E-07;0.41
110_70_6.5;0.11;0.07;0.0065;8.98;0.001144;0.01;0.0033;1.4242E-06;0.00001911;0.0353;4.561E-07;0.00000842;0.02;2.694E-07;0.00000705;0.0153;0.0158;0.035547585;0.000000468;0.402
110_70_8;0.11;0.07;0.008;10.93;0.001392;0.01;0.0033;1.7154E-06;0.00002322;0.0351;5.464E-07;0.0000102;0.0198;3.231E-07;0.0000085;0.0152;0.0164;0.036195402;0.000000559;0.4
125_80_7;0.125;0.08;0.007;11.04;0.001406;0.011;0.0037;2.2653E-06;0.00002667;0.0401;7.373E-07;0.00001189;0.0229;0.000000434;0.00000996;0.0176;0.018;0.040167852;0.000000747;0.407
125_80_8;0.125;0.08;0.008;12.58;0.001598;0.011;0.0037;2.2562E-06;0.00003026;0.04;8.095E-07;0.00001347;0.0228;4.882E-07;0.00001125;0.0175;0.0184;0.040553191;0.000000841;0.406
125_80_10;0.125;0.08;0.01;15.47;0.00197;0.011;0.0037;3.1161E-06;0.00003727;0.0398;1.0047E-06;0.00001652;0.0226;5.933E-07;0.00001347;0.0174;0.0192;0.04143401;0.00000102;0.404
125_80_12;0.125;0.08;0.012;18.34;0.002336;0.011;0.0037;3.6479E-06;0.00004407;0.0395;1.1684E-06;0.00001946;0.0224;6.947E-07;0.00001611;0.0172;0.0199;0.042228596;0.00000118;0.4
140_90_8;0.14;0.09;0.008;14.13;0.001799;0.012;0.004;3.6368E-06;0.00003825;0.0449;1.1979E-06;0.00001719;0.0258;7.027E-07;0.00001439;0.0158;0.0204;0.045;0.00000121;0.411
140_90_10;0.14;0.09;0.01;17.46;0.002224;0.012;0.004;4.4445E-06;0.00004719;0.0447;1.4554E-06;0.00002114;0.0258;8.551E-07;0.00001758;0.0196;0.0211;0.045863309;0.00000147;0.409
